,Full Alpha Trinity rebuilt,Prediction-only MLP/RF,Crisis-only deterministic,Full Alpha Trinity rebuilt no-cost,Full Alpha Trinity no-leverage
2022-01-03,1.0,1.0,1.0,1.0,1.0
2022-01-04,0.9999034734910824,0.9999122478582197,0.9998900120986691,1.0,0.9999034734910824
2022-01-05,0.996524288526051,0.996840214144603,0.9976413334337372,0.9966236140767645,0.996524288526051
2022-01-06,0.9976142801189793,0.9978314279193258,0.9981792720800168,0.9977150748949357,0.9976142801189793
2022-01-07,0.9965942597474018,0.9969039306604717,0.9979760750328044,0.9966962520491921,0.9965942597474018
2022-01-10,0.9962508727264833,0.996591663733353,0.9973930414858526,0.9963535741000467,0.9962508727264833
2022-01-11,0.997509902127597,0.9977366173949123,0.9984159037689002,0.9976138720357725,0.997509902127597
2022-01-12,0.9979956393897707,0.9981782943989286,0.9988286986302002,0.9981002358002125,0.9979956393897707
2022-01-13,0.9953818115907702,0.9958016342940803,0.9974010807154081,0.9954885014248621,0.9953818115907702
2022-01-14,0.9965293634660397,0.9968452976007081,0.9979186038044974,0.9966373774001075,0.9965293634660397
2022-01-18,0.9940304948799531,0.9945728635710511,0.9958136378431113,0.9941406458897509,0.9940304948799531
2022-01-19,0.9926209165296532,0.993290722790792,0.9951173551676638,0.9927323590295228,0.9926209165296532
2022-01-20,0.9911689271040595,0.9919698323958429,0.9942370216678308,0.9912817520679469,0.9911689271040595
2022-01-21,0.9889184676305185,0.9899222890307059,0.9924766062783217,0.9890330678336766,0.9889184676305185
2022-01-24,0.9891901904896718,0.9901695601664019,0.992584931748457,0.9893053184826227,0.9891901904896718
2022-01-25,0.9870470771828006,0.9882193334333005,0.9912293807874312,0.9871648377978782,0.9870470771828006
2022-01-26,0.9867268099887581,0.9887323871210949,0.9900634728974138,0.9877298698261727,0.9867268099887581
2022-01-27,0.9871011995087017,0.9875952999654866,0.9904391284330488,0.9881125916696742,0.9871011995087017
2022-01-28,0.9860274522980216,0.9898294399749633,0.9893617502959006,0.9870386540183208,0.9860274522980216
2022-01-31,0.984368532997308,0.992899581972663,0.9876972212818974,0.9853828657570304,0.984368532997308
2022-02-01,0.9832813296352254,0.9936445604076836,0.9866063414907408,0.9842959038197633,0.9832813296352254
2022-02-02,0.9824425877122493,0.9947925103707104,0.9857647633226805,0.9834591067669609,0.9824425877122493
2022-02-03,0.9795373735057273,0.9901416525206846,0.9828497249982907,0.9805523729303762,0.9795373735057273
2022-02-04,0.9796065906570945,0.9909776551996542,0.9829191762106961,0.9806225127761394,0.9796065906570945
2022-02-07,0.9819713278140251,0.9908670010404124,0.9852919098370448,0.9829921616068977,0.9819713278140251
2022-02-08,0.9836397314155266,0.9912268714946714,0.9869659552234431,0.9846627659918565,0.9836397314155266
2022-02-09,0.9840648142942283,0.9942390382377618,0.9873924755398024,0.9850899571185658,0.9840648142942283
