,SPY buy-and-hold,60/40 SPY/AGG,Equal-weight universe,Momentum Top-5,Volatility-targeted SPY,Risk parity inverse-vol,Defensive basket buy-and-hold,Full Alpha Trinity rebuilt,Prediction-only MLP/RF,Crisis-only deterministic,Full Alpha Trinity rebuilt no-cost,Full Alpha Trinity no-leverage
2022-01-03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-01-04,0.999000999000999,0.999000999000999,0.9990009990009986,0.999000999000999,1.1004060523765729,0.9990009990009989,0.999000999000999,0.09652650891752104,0.08775214178028241,0.1099879013308536,0.09653582718390459,0.09652650891752104
2022-01-05,0.0,0.007732506154682683,0.014383587994273112,0.4008138509604463,0.001211560632306874,0.012301790067831267,0.0,0.0031252542117869795,0.0028615664168142145,0.002065603571331103,0.0031254827894581613,0.0031252542117869795
2022-01-06,0.0,5.895093047392219e-05,0.009028178799847963,0.40531532117453994,0.04222770407393739,0.020598381810498674,0.0,0.0013651930391738796,0.0012429067560964374,0.0010575114830249444,0.0013651655205756215,0.0013651930391738796
2022-01-07,0.0,0.0004934977402491492,0.007211635282277619,0.8043788720978131,0.000780363559915509,0.01323573269321596,0.0,0.0013035629714671223,0.001189237487238354,0.0008652564086418643,0.001303627461410062,0.0013035629714671223
2022-01-10,0.0,0.00017052242595577694,0.006339706107713165,0.4025579267724085,0.0026299544184720247,0.011702654418900336,0.0,0.0007466811383350677,0.0006787085175379922,0.0008067305336338093,0.0007466787124133624,0.0007466811383350677
2022-01-11,0.0,0.003475879938244497,0.006762056472496308,0.4154672211477004,0.02917456328373924,0.00879171165578092,0.0,0.0011429115037009598,0.0010490938910817761,0.0010720581576931405,0.0011428011717935565,0.0011429115037009598
2022-01-12,0.0,0.0012979195182550862,0.0046504226006437235,0.002449060321720181,0.0024651603786653986,0.008277374396885594,0.0,0.0005772515347868459,0.0005274681412161409,0.0005610599412060636,0.0005772128944916371,0.0005772515347868459
2022-01-13,0.0,0.007464738572416252,0.010973636615082084,0.016205183522749633,0.001174797479821077,0.011751649381840814,0.0,0.002371875746708005,0.0021744007709994673,0.0014410159031929036,0.00237207464951771,0.002371875746708005
2022-01-14,0.0,0.0028776610518410073,0.00856547676644083,0.010029559542193617,0.019352126718377827,0.013820606882425352,0.0,0.0012065431366133387,0.00110255543660083,0.0009583969344783231,0.001206470984765829,0.0012065431366133387
2022-01-18,0.0,0.005589671683781439,0.010367616473895606,0.40351815052410156,1.3831106106421132e-05,0.0193883577602855,0.0,0.002416052661174321,0.002211567612403423,0.0019950636309866068,0.002416229368620603,0.002416052661174321
2022-01-19,0.0,0.006016233783117553,0.010003793625850611,0.013950613642360027,0.03568507589295411,0.011215051624344004,0.0,0.0014562214980215309,0.0013306068809332472,0.001175658519604282,0.0014563056144043722,0.0014562214980215309
2022-01-20,0.0,0.005569246262932315,0.007116613853231944,0.01040169127702173,0.011436029994746688,0.009390760773932775,0.0,0.0015567944829462826,0.0014246281064235664,0.0010590257917922567,0.0015569150313194243,0.0015567944829462826
2022-01-21,0.0,0.011309757061705783,0.010196133564646784,0.011416792783157326,0.009282472655343432,0.009385487270767537,0.0,0.0020492756308706293,0.0018810907699586873,0.0016073887805929596,0.0020494734593887835,0.0020492756308706293
2022-01-24,0.0,0.002595168721005181,0.0065380205541095415,0.40321615285707557,0.034462653050447045,0.00962273471785973,0.0,0.0005018046148946883,0.0004565786904705922,0.0007762359698874994,0.0005017959376290536,0.0005018046148946883
2022-01-25,0.0,0.005388324496610919,0.013458587415719717,0.014040625475361446,0.00033471530230966273,0.012143414449558977,0.0,0.002913206552423535,0.0026614644133507765,0.001889375370437517,0.002913419621161085,0.002913206552423535
2022-01-26,0.0,0.001496361613449959,0.008236658036797968,0.4009969557365325,0.0025414328868521574,0.012710075123816438,0.0,0.8968486297609464,0.0011743275029522599,0.9087915882014697,0.8975661086647551,0.8968486297609464
2022-01-27,0.0,0.003964453488923547,0.010979052485930674,0.010015630102606699,0.0005879750068331635,0.016305545212837988,0.0,0.008050517768481702,0.0015979797733115982,0.008050517768481702,0.008048907664928051,0.008050517768481702
2022-01-28,0.0,0.011579781284799529,0.010709697151817452,0.40565611434633003,0.0014533019141861336,0.009493186472813263,0.0,0.0009206741464166113,0.0022043554423772705,0.0009206741464166113,0.0009204900115873382,0.0009206741464166113
2022-01-31,0.0,0.008689831560916794,0.014918249907585397,0.006028074317692339,0.05254946552467599,0.023634223081460914,0.0,0.004895768341725282,0.0028323165743762637,0.004895768341725282,0.00489674749539365,0.004895768341725282
2022-02-01,0.0,0.003411702640779335,0.00753101979906598,0.0145872996022271,0.022170874664636187,0.017582699867745525,0.0,0.0013819224474769243,0.0009049630154848755,0.0013819224474769243,0.0013821988319663858,0.0013819224474769243
2022-02-02,0.0,0.0041474418238888755,0.005924219626053218,0.006918911257103866,0.002623688496853571,0.013499960186545042,0.0,0.002855142427060031,0.001122762590635003,0.002855142427060031,0.0028557134555454167,0.002855142427060031
2022-02-03,0.0,0.009346838861201634,0.029811858023311114,0.0034574973170387047,0.0036558160393876937,0.01834426812746543,0.0,0.0015113519278807108,0.004263475933621603,0.0015113519278807108,0.0015116541982662657,0.0015113519278807108
2022-02-04,0.0,0.005277546606955563,0.008283292331558119,0.00874876947833772,0.03429657051493973,0.029029241531831305,0.0,0.0008678489895452834,0.000976819577175088,0.0008678489895452834,0.0008680225593432067,0.0008678489895452834
2022-02-07,0.0,0.0019740495564586347,0.00721501467247633,0.003989433508867546,0.0008865928719853367,0.008909075655588192,0.0,0.0025078684023823183,0.0012115536337500244,0.0025078684023823183,0.002508369976062741,0.0025078684023823183
2022-02-08,0.0,0.00542505802396237,0.007635041690981177,0.4073786814423016,0.0019946645707290545,0.022775631483884257,0.0,0.00047442002876707523,0.0011492280852597875,0.00047442002876707523,0.00047451491277283875,0.00047442002876707523
2022-02-09,0.0,0.0067223250028399795,0.012008805339157928,0.004271726937533499,0.006271101224991971,0.01083401444533578,0.0,0.0016920925472287962,0.002774914716376063,0.0016920925472287962,0.0016924309657382341,0.0016920925472287962
2022-02-10,0.0,0.004188015844570625,0.007463618746356648,0.005477291675394569,0.007123158149594633,0.008543398159623935,0.0,0.2019211535771961,0.0019233634405528871,0.2019211535771961,0.2019211535771961,0.2019211535771961
2022-02-11,0.0,0.012621953812282094,0.01648145962342988,0.010495544726304012,0.014436964187961254,0.024262555324936576,0.0,0.004427925227251772,0.003254615795238248,0.004427925227251772,0.004427925227251772,0.004427925227251772
2022-02-14,0.0,0.0012209613125543917,0.00537101745738696,0.4015298033181224,0.01727689582032732,0.015324272963553216,0.0,0.0009692591092478886,0.000760106868521218,0.0009692591092478886,0.0009686775537823267,0.0009692591092478886
2022-02-15,0.0,0.008532010848841143,0.015154907424305732,0.7976189485384054,0.0026280893942423056,0.012664167042489622,0.0,0.0016867365569444015,0.003252346110621569,0.0016867365569444015,0.0016867365569444015,0.0016867365569444015
2022-02-16,0.0,3.3060265321238624e-05,0.003747742222621149,0.0025215819375934423,0.013569111342547902,0.010286219514899523,0.0,0.0036691751449255405,0.00039522491668441155,0.0036691751449255405,0.0036691751449255405,0.0036691751449255405
2022-02-17,0.0,0.011260277911799454,0.01492062707184117,0.40761848386940547,0.0033296823822761556,0.012987688369112037,0.0,0.0039834405238241555,0.002913149926126152,0.0039834405238241555,0.0039834405238241555,0.0039834405238241555
2022-02-18,0.0,0.004114125819550785,0.005432783656473886,0.4014617542028996,0.018302047636188146,0.011845776845090897,0.0,0.0010387696964122006,0.001197858044912225,0.0010387696964122006,0.0010387696964122006,0.0010387696964122006
2022-02-22,0.0,0.004625833496105902,0.006626019255626392,0.4045217695897482,0.0007959555457479617,0.00676007090296997,0.0,0.0005100678028271965,0.0008207656997397737,0.0005100678028271965,0.0005100678028271965,0.0005100678028271965
2022-02-23,0.0,0.006370343037950976,0.008998072150415141,0.004586589902179444,0.00021841716533799183,0.01091829394244986,0.0,0.0010023735177874804,0.0020080249069430157,0.0010023735177874804,0.0010023735177874804,0.0010023735177874804
2022-02-24,0.0,0.006346147077244735,0.018876514204405587,0.005765743008303348,0.005107596330310327,0.026125263756608296,0.0,0.004380673130597257,0.003081081505757551,0.004380673130597257,0.004380673130597257,0.004380673130597257
2022-02-25,0.0,0.01011032262296957,0.011438648315988419,0.019903439933579403,0.0075704811964717456,0.02031842594108608,0.0,0.0009997584519272351,0.001471318401203073,0.0009997584519272351,0.0010003583069984057,0.0009997584519272351
2022-02-28,0.0,0.004687944797339527,0.009125784977180834,0.41098638624967976,0.007538393975912605,0.012710038877017911,0.0,0.0026452733778995485,0.0007152884867531609,0.0026452733778995485,0.0026452733778995485,0.0026452733778995485
2022-03-01,0.0,0.01001339100729387,0.01488572740538565,0.011911220524262162,0.007406238145374777,0.025999227024502396,0.0,0.0031306017752962823,0.002001630570273745,0.0031306017752962823,0.0031306017752962823,0.0031306017752962823
