strategy,symbol,start_date,end_date,holding_days,start_weight,right_censored
Full Alpha Trinity rebuilt dynamic VIX,ASML,2022-04-05,2022-04-25,14,0.01235583128673654,False
Full Alpha Trinity rebuilt dynamic VIX,ASML,2022-07-21,2022-08-29,28,0.031340055105742066,False
Full Alpha Trinity rebuilt dynamic VIX,ASML,2022-11-29,2022-12-12,10,0.03666604941375774,False
Full Alpha Trinity rebuilt dynamic VIX,ASML,2023-01-26,2023-03-14,33,0.02129987911945728,False
Full Alpha Trinity rebuilt dynamic VIX,ASML,2023-04-04,2024-08-06,337,0.014161342212298485,False
Full Alpha Trinity rebuilt dynamic VIX,ASML,2024-08-23,2025-04-04,154,0.01807610347987509,False
Full Alpha Trinity rebuilt dynamic VIX,ASML,2025-09-22,2026-05-08,159,0.022639374855861455,True
Full Alpha Trinity rebuilt dynamic VIX,DBA,2022-04-01,2022-04-25,16,0.016537561643172504,False
Full Alpha Trinity rebuilt dynamic VIX,DBA,2024-06-03,2024-08-06,45,-0.011886114244790007,False
Full Alpha Trinity rebuilt dynamic VIX,DBA,2025-05-21,2025-06-11,15,0.013373730466602604,False
Full Alpha Trinity rebuilt dynamic VIX,EFA,2025-09-23,2026-05-08,158,0.011539026601258886,True
Full Alpha Trinity rebuilt dynamic VIX,GLD,2022-01-27,2023-06-22,352,0.3,False
Full Alpha Trinity rebuilt dynamic VIX,GLD,2024-08-07,2026-05-08,440,0.3,True
Full Alpha Trinity rebuilt dynamic VIX,IWM,2022-07-21,2022-08-29,28,0.024152924727054315,False
Full Alpha Trinity rebuilt dynamic VIX,IWM,2022-11-29,2022-12-12,10,0.02678539988661969,False
Full Alpha Trinity rebuilt dynamic VIX,IWM,2025-05-09,2025-08-06,61,0.03247319211972608,False
Full Alpha Trinity rebuilt dynamic VIX,IWM,2025-09-23,2025-09-30,6,0.01117555245364086,False
Full Alpha Trinity rebuilt dynamic VIX,IWM,2025-11-04,2026-05-08,128,0.013956457150333643,True
Full Alpha Trinity rebuilt dynamic VIX,META,2022-04-07,2022-04-25,12,0.03231785900207837,False
Full Alpha Trinity rebuilt dynamic VIX,META,2022-07-22,2022-08-29,27,0.025347390326448345,False
Full Alpha Trinity rebuilt dynamic VIX,META,2022-11-29,2022-12-12,10,0.03196233016097781,False
Full Alpha Trinity rebuilt dynamic VIX,META,2023-01-26,2023-03-14,33,0.0265689380961187,False
Full Alpha Trinity rebuilt dynamic VIX,META,2023-04-04,2024-08-06,337,0.020687733296644684,False
Full Alpha Trinity rebuilt dynamic VIX,META,2024-08-28,2025-04-04,151,0.016420820079377573,False
Full Alpha Trinity rebuilt dynamic VIX,META,2025-05-14,2026-05-08,248,0.011949037082795646,True
Full Alpha Trinity rebuilt dynamic VIX,MSFT,2022-01-05,2022-01-26,15,0.01183342354118202,False
Full Alpha Trinity rebuilt dynamic VIX,MSFT,2022-03-31,2022-04-25,17,0.012196960018828983,False
Full Alpha Trinity rebuilt dynamic VIX,MSFT,2023-01-26,2023-03-14,33,0.03584434790785791,False
Full Alpha Trinity rebuilt dynamic VIX,MSFT,2023-04-17,2023-07-03,54,0.01029133345349906,False
Full Alpha Trinity rebuilt dynamic VIX,MSFT,2023-07-10,2023-09-12,46,0.010642628470825512,False
Full Alpha Trinity rebuilt dynamic VIX,MSFT,2023-11-17,2024-01-17,40,0.012510646043567067,False
Full Alpha Trinity rebuilt dynamic VIX,MSFT,2024-01-26,2024-02-05,7,0.013256782743305627,False
Full Alpha Trinity rebuilt dynamic VIX,MSFT,2024-02-15,2024-05-30,73,0.013761038353782382,False
Full Alpha Trinity rebuilt dynamic VIX,MSFT,2024-07-01,2024-08-05,25,0.011597924716642432,False
Full Alpha Trinity rebuilt dynamic VIX,MSFT,2025-05-09,2026-01-22,177,0.02665174785279359,False
Full Alpha Trinity rebuilt dynamic VIX,MSFT,2026-03-04,2026-05-08,47,0.011467229716692177,True
Full Alpha Trinity rebuilt dynamic VIX,NVDA,2022-01-05,2022-01-26,15,0.02618456198228889,False
Full Alpha Trinity rebuilt dynamic VIX,NVDA,2022-03-31,2022-04-25,17,0.013595361215553051,False
Full Alpha Trinity rebuilt dynamic VIX,NVDA,2022-07-21,2022-08-29,28,0.028148966702040732,False
Full Alpha Trinity rebuilt dynamic VIX,NVDA,2023-01-26,2023-03-14,33,0.03723135564632587,False
Full Alpha Trinity rebuilt dynamic VIX,NVDA,2023-04-04,2024-08-06,337,0.03936338081680672,False
Full Alpha Trinity rebuilt dynamic VIX,NVDA,2024-08-23,2025-04-04,154,0.02660582655113049,False
Full Alpha Trinity rebuilt dynamic VIX,NVDA,2025-05-15,2026-05-08,247,0.01049063858733531,True
Full Alpha Trinity rebuilt dynamic VIX,QQQ,2022-04-01,2022-04-25,16,0.018398016085713023,False
Full Alpha Trinity rebuilt dynamic VIX,QQQ,2023-01-26,2023-03-14,33,0.03597855615331716,False
Full Alpha Trinity rebuilt dynamic VIX,QQQ,2023-05-15,2023-06-29,32,0.011001285545749348,False
Full Alpha Trinity rebuilt dynamic VIX,QQQ,2023-11-16,2024-02-12,59,0.014592197030910858,False
Full Alpha Trinity rebuilt dynamic VIX,QQQ,2024-02-15,2024-06-03,75,0.011656779279394406,False
Full Alpha Trinity rebuilt dynamic VIX,QQQ,2024-08-27,2025-04-04,152,0.014544552320240805,False
Full Alpha Trinity rebuilt dynamic VIX,QQQ,2025-05-15,2026-05-08,247,0.010634287386681398,True
Full Alpha Trinity rebuilt dynamic VIX,SPY,2022-04-01,2022-04-25,16,0.01247200166550998,False
Full Alpha Trinity rebuilt dynamic VIX,SPY,2022-07-21,2022-08-29,28,0.03176650400429843,False
Full Alpha Trinity rebuilt dynamic VIX,SPY,2024-01-19,2024-01-29,7,0.013526488832428796,False
Full Alpha Trinity rebuilt dynamic VIX,SPY,2024-02-02,2024-02-09,6,0.011639331141258237,False
Full Alpha Trinity rebuilt dynamic VIX,SPY,2024-02-28,2024-03-20,16,0.011521360605346236,False
Full Alpha Trinity rebuilt dynamic VIX,SPY,2024-05-30,2024-06-05,5,-0.010882402485115728,False
Full Alpha Trinity rebuilt dynamic VIX,SPY,2024-08-27,2025-04-04,152,0.011060135224873271,False
Full Alpha Trinity rebuilt dynamic VIX,SPY,2025-05-09,2026-05-08,251,0.029472294870300373,True
Full Alpha Trinity rebuilt dynamic VIX,UUP,2022-01-27,2023-06-21,351,0.5,False
Full Alpha Trinity rebuilt dynamic VIX,UUP,2024-08-06,2025-10-06,293,0.0962548992960371,False
Full Alpha Trinity rebuilt dynamic VIX,VNQ,2022-04-01,2022-04-25,16,0.011314558475856655,False
Full Alpha Trinity rebuilt dynamic VIX,VNQ,2022-11-29,2022-12-12,10,0.0337688284091472,False
Full Alpha Trinity rebuilt dynamic VIX,VNQ,2025-06-05,2025-06-11,5,0.010025526953114514,False
Full Alpha Trinity rebuilt dynamic VIX,VWO,2022-04-07,2022-04-25,12,0.028691164756842344,False
Full Alpha Trinity rebuilt dynamic VIX,VWO,2025-06-05,2025-07-21,31,0.010763871897364625,False
Full Alpha Trinity rebuilt dynamic VIX,VWO,2025-09-23,2025-09-29,5,0.01055856093988414,False
Full Alpha Trinity rebuilt dynamic VIX,VWO,2025-10-03,2026-05-08,150,0.012410718094570145,True
Full Alpha Trinity rebuilt dynamic VIX,XLE,2022-01-05,2022-01-26,15,0.011698461046094202,False
Full Alpha Trinity rebuilt dynamic VIX,XLE,2022-03-31,2022-04-25,17,0.02615908368588927,False
Full Alpha Trinity rebuilt dynamic VIX,XLE,2022-07-21,2022-08-29,28,0.041514626383941364,False
Full Alpha Trinity rebuilt dynamic VIX,XLE,2022-11-29,2022-12-12,10,0.027740469052574466,False
Full Alpha Trinity rebuilt dynamic VIX,XLE,2023-01-30,2023-03-14,31,0.010274585480932323,False
Full Alpha Trinity rebuilt dynamic VIX,XLE,2023-04-04,2023-06-27,58,0.030930362084072238,False
Full Alpha Trinity rebuilt dynamic VIX,XLE,2025-07-14,2025-07-18,5,0.010021441845787356,False
Full Alpha Trinity rebuilt dynamic VIX,XLF,2024-06-25,2024-08-05,29,0.01112006498244993,False
Full Alpha Trinity rebuilt dynamic VIX,XLF,2025-05-09,2026-05-08,251,0.036178360923679084,True
Full Alpha Trinity rebuilt dynamic VIX,XLI,2023-01-31,2023-03-14,30,0.01510236817924792,False
Full Alpha Trinity rebuilt dynamic VIX,XLI,2023-05-18,2023-06-14,19,0.011136771666598988,False
Full Alpha Trinity rebuilt dynamic VIX,XLI,2024-08-28,2025-04-04,151,0.01189161197485928,False
Full Alpha Trinity rebuilt dynamic VIX,XLI,2025-05-09,2026-05-08,251,0.03214748115657778,True
Full Alpha Trinity rebuilt dynamic VIX,XLP,2023-02-01,2023-02-27,18,0.010951423692808042,False
Full Alpha Trinity rebuilt dynamic VIX,XLP,2024-08-29,2025-04-04,150,-0.010119577490414287,False
Full Alpha Trinity rebuilt dynamic VIX,XLU,2023-01-30,2023-03-14,31,0.011204247508568585,False
Full Alpha Trinity rebuilt dynamic VIX,XLU,2025-05-21,2025-07-11,35,0.010335132129506378,False
Full Alpha Trinity rebuilt dynamic VIX,XLU,2025-10-06,2025-11-04,22,-0.01273822289439571,False
Full Alpha Trinity rebuilt dynamic VIX,XLV,2023-01-31,2023-03-14,30,0.01637910255737675,False
Prediction-only MLP/RF dynamic VIX,ASML,2022-03-22,2022-08-30,112,0.014307946898157325,False
Prediction-only MLP/RF dynamic VIX,ASML,2023-01-25,2026-05-08,825,0.017574392930951525,True
Prediction-only MLP/RF dynamic VIX,DBA,2022-03-23,2022-10-21,148,0.013277654934998172,False
Prediction-only MLP/RF dynamic VIX,DBA,2024-08-08,2025-04-21,175,0.0112231846162846,False
Prediction-only MLP/RF dynamic VIX,EFA,2025-04-23,2025-08-04,71,0.01288740088618067,False
