regime,date,crisis_score,symbol,weight
growth,2022-01-03,0.0,NVDA,0.02618456198228889
growth,2022-01-03,0.0,MSFT,0.01183342354118202
growth,2022-01-03,0.0,XLE,0.011698461046094202
growth,2022-01-03,0.0,ASML,0.009551058394029604
growth,2022-01-03,0.0,SPY,0.00814296429008842
growth,2022-01-03,0.0,QQQ,0.007988164527410148
growth,2022-01-03,0.0,META,0.007552763284222258
growth,2022-01-03,0.0,VNQ,0.0063384807410318935
growth,2022-01-03,0.0,XLV,0.0038862331987894296
growth,2022-01-03,0.0,IWM,0.0033597161787677085
caution,2022-11-29,0.55,UUP,0.44807692307692304
caution,2022-11-29,0.55,GLD,0.21
caution,2022-11-29,0.55,ASML,0.03666604941375774
caution,2022-11-29,0.55,VNQ,0.0337688284091472
caution,2022-11-29,0.55,META,0.03196233016097781
caution,2022-11-29,0.55,XLE,0.027740469052574466
caution,2022-11-29,0.55,IWM,0.02678539988661969
caution,2022-11-29,0.55,AGG,0.0
caution,2022-11-29,0.55,XLU,0.0
caution,2022-11-29,0.55,XLP,0.0
panic,2022-04-26,0.8683510402719212,UUP,0.5
panic,2022-04-26,0.8683510402719212,GLD,0.3
panic,2022-04-26,0.8683510402719212,AGG,0.0
panic,2022-04-26,0.8683510402719212,TLT,0.0
panic,2022-04-26,0.8683510402719212,XLU,0.0
panic,2022-04-26,0.8683510402719212,XLP,0.0
panic,2022-04-26,0.8683510402719212,XLI,0.0
panic,2022-04-26,0.8683510402719212,XLF,0.0
panic,2022-04-26,0.8683510402719212,XLE,0.0
panic,2022-04-26,0.8683510402719212,VWO,0.0
