strategy,symbol,mean_abs_weight,max_abs_weight,active_day_share_over_1pct
Full Alpha Trinity rebuilt dynamic VIX,UUP,0.17365782556094592,0.5,0.5902841429880843
Full Alpha Trinity rebuilt dynamic VIX,NVDA,0.14367660303122853,0.3,0.7616865261228231
Full Alpha Trinity rebuilt dynamic VIX,META,0.12760001161649526,0.3,0.7497708524289642
Full Alpha Trinity rebuilt dynamic VIX,GLD,0.12677235398439174,0.3,0.7259395050412466
Full Alpha Trinity rebuilt dynamic VIX,ASML,0.11840308798090067,0.3,0.6736938588450962
Full Alpha Trinity rebuilt dynamic VIX,SPY,0.019346782243694405,0.13211300053997,0.44087992667277726
Full Alpha Trinity rebuilt dynamic VIX,MSFT,0.015490228183304044,0.07700295983511449,0.4894592117323556
Full Alpha Trinity rebuilt dynamic VIX,QQQ,0.015135667907780667,0.062420118807042665,0.5627864344637947
Full Alpha Trinity rebuilt dynamic VIX,XLI,0.011463044771881873,0.10850247151964736,0.41338221814848763
Full Alpha Trinity rebuilt dynamic VIX,XLF,0.011255579867733186,0.11875000733860189,0.2566452795600367
Full Alpha Trinity rebuilt dynamic VIX,XLE,0.010870859887112498,0.17788452867793053,0.15032080659945005
Full Alpha Trinity rebuilt dynamic VIX,IWM,0.006725917080246674,0.07169598690170793,0.21356553620531624
Full Alpha Trinity rebuilt dynamic VIX,VWO,0.005480997033772254,0.03782771360790205,0.18148487626031165
Full Alpha Trinity rebuilt dynamic VIX,EFA,0.004551049160393022,0.03704612066230761,0.14482126489459213
Full Alpha Trinity rebuilt dynamic VIX,DBA,0.002869380772720859,0.08142732057590057,0.06966086159486709
Full Alpha Trinity rebuilt dynamic VIX,VNQ,0.0028568658939187013,0.07339456243412026,0.02841429880843263
Full Alpha Trinity rebuilt dynamic VIX,XLU,0.0021839662674843752,0.025768287807834897,0.08065994500458296
Full Alpha Trinity rebuilt dynamic VIX,XLP,0.0017257883265214117,0.010951423692808042,0.153987167736022
Full Alpha Trinity rebuilt dynamic VIX,XLV,0.000964710588657556,0.021501244130394663,0.027497708524289642
Full Alpha Trinity rebuilt dynamic VIX,TLT,0.0,0.0,0.0
Full Alpha Trinity rebuilt dynamic VIX,AGG,0.0,0.0,0.0
Prediction-only MLP/RF dynamic VIX,NVDA,0.19580122625734045,0.3,0.9303391384051329
Prediction-only MLP/RF dynamic VIX,META,0.1538965457246819,0.3,0.7351054078826764
Prediction-only MLP/RF dynamic VIX,ASML,0.14204923630017632,0.29708966822362526,0.8588450962419798
Prediction-only MLP/RF dynamic VIX,XLE,0.07151099772155647,0.3,0.38038496791934007
Prediction-only MLP/RF dynamic VIX,UUP,0.026027766478978885,0.3,0.22181484876260313
