period,strategy,net_return
2022-12-31,Full Alpha Trinity rebuilt dynamic VIX,-0.05149405163127663
2023-12-31,Full Alpha Trinity rebuilt dynamic VIX,0.44376323237929527
2024-12-31,Full Alpha Trinity rebuilt dynamic VIX,0.3770389058373207
2025-12-31,Full Alpha Trinity rebuilt dynamic VIX,0.09743460594897435
2026-12-31,Full Alpha Trinity rebuilt dynamic VIX,0.15479919795328434
2022-12-31,Prediction-only MLP/RF dynamic VIX,-0.09955706623375937
2023-12-31,Prediction-only MLP/RF dynamic VIX,0.4180267381720735
2024-12-31,Prediction-only MLP/RF dynamic VIX,0.4587899433388136
2025-12-31,Prediction-only MLP/RF dynamic VIX,0.19564685086287636
2026-12-31,Prediction-only MLP/RF dynamic VIX,0.16040315866482135
2022-12-31,SPY buy-and-hold,-0.18700448880772802
2023-12-31,SPY buy-and-hold,0.26175822137781957
2024-12-31,SPY buy-and-hold,0.24886451364846596
2025-12-31,SPY buy-and-hold,0.1771906130702321
2026-12-31,SPY buy-and-hold,0.08463520678418668
2022-12-31,60/40 SPY/AGG,-0.1586396861611934
2023-12-31,60/40 SPY/AGG,0.17706228819053926
2024-12-31,60/40 SPY/AGG,0.1500979561422553
2025-12-31,60/40 SPY/AGG,0.13796759842299733
2026-12-31,60/40 SPY/AGG,0.05294053801317089
2022-12-31,Equal-weight universe,-0.15253128673147665
2023-12-31,Equal-weight universe,0.2754720977631919
2024-12-31,Equal-weight universe,0.2122451208827627
2025-12-31,Equal-weight universe,0.1869531737970367
2026-12-31,Equal-weight universe,0.08316122547117555
2022-12-31,Defensive basket buy-and-hold,-0.0828234206956342
2023-12-31,Defensive basket buy-and-hold,0.0641537583621481
2024-12-31,Defensive basket buy-and-hold,0.10390154507528071
2025-12-31,Defensive basket buy-and-hold,0.21821355318222935
2026-12-31,Defensive basket buy-and-hold,0.04616318913333295
