symbol,quantile,coverage,target,pinball,n
SPY,0.1,0.11784799316823227,0.1,0.0022157560712469503,4684
SPY,0.5,0.4987190435525192,0.5,0.0040390288221145805,4684
SPY,0.9,0.8930401366353544,0.9,0.001948695939302091,4684
QQQ,0.1,0.11742100768573868,0.1,0.0026041480526918124,4684
QQQ,0.5,0.5066182749786508,0.5,0.004825710646899686,4684
QQQ,0.9,0.8896242527754057,0.9,0.002303384902445626,4684
TLT,0.1,0.11251067463706234,0.1,0.0016823571179564126,4684
TLT,0.5,0.4995730145175064,0.5,0.0036886944719052984,4684
TLT,0.9,0.8872758326216909,0.9,0.0016453863453263723,4684
IEF,0.1,0.11144321093082835,0.1,0.0007647461652714677,4684
IEF,0.5,0.503202391118702,0.5,0.0016833809625530591,4684
IEF,0.9,0.8834329632792485,0.9,0.0007546665418587534,4684
HYG,0.1,0.11760883690708251,0.1,0.001071383834621201,4617
HYG,0.5,0.5102880658436214,0.5,0.001966952746603274,4617
HYG,0.9,0.894087069525666,0.9,0.0010092441443748893,4617
GLD,0.1,0.11101622544833475,0.1,0.0020242319299678025,4684
GLD,0.5,0.5006404782237404,0.5,0.003938210894663364,4684
GLD,0.9,0.8847139197267293,0.9,0.001866381104026163,4684
FXE,0.1,0.11272416737830913,0.1,0.0009902969492839972,4684
FXE,0.5,0.5106746370623398,0.5,0.0021289709424857383,4684
FXE,0.9,0.8900512382578992,0.9,0.000982211584970144,4684
VNQ,0.1,0.11507258753202391,0.1,0.0028638238837218138,4684
VNQ,0.5,0.5,0.5,0.005755953537118294,4684
VNQ,0.9,0.890264730999146,0.9,0.00266666775662305,4684
