symbol,quantile,coverage,target,n
FXE,0.1,0.09210526315789473,0.1,1976
FXE,0.5,0.5354251012145749,0.5,1976
FXE,0.9,0.9068825910931174,0.9,1976
GLD,0.1,0.12348178137651822,0.1,1976
GLD,0.5,0.48633603238866396,0.5,1976
GLD,0.9,0.896255060728745,0.9,1976
HYG,0.1,0.05921052631578947,0.1,1976
HYG,0.5,0.5298582995951417,0.5,1976
HYG,0.9,0.9180161943319838,0.9,1976
IEF,0.1,0.11791497975708502,0.1,1976
IEF,0.5,0.5288461538461539,0.5,1976
IEF,0.9,0.8851214574898786,0.9,1976
QQQ,0.1,0.1695344129554656,0.1,1976
QQQ,0.5,0.5161943319838057,0.5,1976
QQQ,0.9,0.8876518218623481,0.9,1976
SPY,0.1,0.1771255060728745,0.1,1976
SPY,0.5,0.5237854251012146,0.5,1976
SPY,0.9,0.8810728744939271,0.9,1976
TLT,0.1,0.12095141700404859,0.1,1976
TLT,0.5,0.5075910931174089,0.5,1976
TLT,0.9,0.8906882591093117,0.9,1976
VNQ,0.1,0.10981781376518218,0.1,1976
VNQ,0.5,0.4934210526315789,0.5,1976
VNQ,0.9,0.9089068825910931,0.9,1976
